name,gender,education,biography,age,position,tenure,company_name
蒋安琪,性别:女,学历:硕士,"蒋安琪女士,中国国籍,生于1987年,西南财经大学工商管理硕士。蒋安琪女士自2017年2月起担任公司董事,于2022年4月起担任公司副董事长,其主要负责协助本公司制定战略及投资规划,以及协助董事长作出主要战略决策。蒋安琪女士于锂行业拥有近10年的经验,自2016年2月及2018年7月起分别担任成都天齐实业(集团)有限公司(以下简称“天齐集团”)副总经理及董事,于2021年8月至2023年6月担任天齐集团总经理,并于天齐集团及其附属公司担任多项职务。此外,蒋安琪女士自2021年7月起担任公司多家子公司董事职务。",当前年龄:38,"职务:董事长,法定代表人,非独立董事",任职时间:2023-04-14至今,天齐锂业
蒋卫平,性别:男,学历:本科,"蒋卫平先生:1955年出生,白族,中国国籍,大学本科学历,2011年9月获中华人民共和国机械电子工业部认证为工程师。蒋卫平先生自2007年12月起担任公司董事长,其主要负责公司全面战略规划及业务发展,以及作出主要战略决策。蒋卫平先生于锂行业拥有逾20年的经验,其于2003年成立天齐集团,并自成立起担任天齐集团董事长,2004年10月通过天齐集团收购射洪锂业(天齐锂业前身)。其于2011年8月至2012年12月兼任公司总经理,此后自2011年9月起担任中国有色金属工业协会锂业分会副会长。蒋卫平先生于2023年6月起兼任天齐集团总经理。曾任天齐锂业股份有限公司董事长。",当前年龄:70,"职务:董事会名誉主席,非独立董事",任职时间:2023-04-14至今,天齐锂业
夏浚诚,性别:男,学历:硕士,"夏浚诚,中国籍,生于1972年,澳洲悉尼科技大学工程管理硕士,香港中文大学商学院MBA/EMBA,奥地利因茨布鲁克管理中心核心商业管理专业研究生;在读企业管理博士;夏浚诚先生于2021年1月15日起担任公司总裁,于2021年2月1日起担任公司董事,其主要负责本公司全面及日常管理。在加入公司前,夏浚诚先生于1997年8月至2002年5月任职于Olip Italia S.p.A及施华洛世奇(奥地利)工具制造公司。其亦于2011年11月至2020年12月任职于奥地利斯太尔公司,其中2018年11月至2019年8月担任奥地利斯太尔CEO兼董事总经理,并于2019年8月至2020年12月担任奥地利斯太尔亚太区负责人。此外,夏浚诚先生目前担任公司多家子公司董事职务。",当前年龄:53,"职务:总裁,非独立董事",任职时间:2021-01-15至今,天齐锂业
邹军,性别:男,学历:硕士,"邹军,中国国籍,生于1973年,会计学硕士,中国注册会计师。邹军先生自2007年12月起担任公司董事兼财务总监,自2021年2月起兼任执行副总裁,主要负责本公司财务、会计及税务事务。邹军先生于财务及会计行业拥有近20年经验。在加入公司前,邹军先生于1998年9月至2007年7月分别担任重庆天健会计师事务所审计助理、项目经理、部门经理兼高级经理。其随后于2007年12月加入天齐锂业担任董事兼总会计师。此外,邹军先生目前担任公司多家子公司董事职务。",当前年龄:52,"职务:执行副总裁,非独立董事,财务总监",任职时间:2007-12-20至今,天齐锂业
张文宇,性别:男,学历:硕士,"张文宇,中国国籍,持有香港永居身份,生于1978年,在公司治理、企业管理、法律、投融资及财税等领域拥有超过20多年的经验。张先生自2021年12月起担任本公司董事会秘书及副总裁,并自2022年7月兼任本公司H股联席公司秘书,主要负责董事会日常事务、公司治理和管治、A+H两地上市公司证券和信息披露事务、上市公司国内外投资者关系、公司股权融资、公司资本市场声誉和证券媒体管理、对特定海外子公司治理管控等事务。此外,张先生亦自2022年4月起获委派并担任文菲尔德的董事长(非执行),在文菲尔德董事会层面对旗下泰利森等业务进行企业管治。在加入本公司前,张先生其曾担任大家海外(香港)负责人及董事总经理、中国上海元达(MWE)律师事务所合伙人、香港罗兵咸永道(PwC)商务及税务经理以及更早前在其他有关国内外公司的相关职务。张先生目前为在读博士,本科毕业于中国华南理工大学,获法律与文学双学士学位;其后分别获中国中山大学工商管理硕士学位、美国西北大学法学硕士学位以及美国纽约大学法学硕士学位。此外,张先生持有美国特许金融分析师(CFA)资格、ESG投资证书(CFA协会授予)、注册国际投资分析师(CIIA)资格、美国纽约州律师资格、美国注册管理会计师(CMA)资格、中国注册会计师(非执业)资格、深交所董事会秘书资格、英国和中国香港地区特许治理专业人士和特许秘书资格、香港治理公会颁发的ESG披露证书(HKCGICERT:ESG)等。此外,张先生在2023年被评选为第十九届新财富金牌董秘。",当前年龄:47,"职务:副总裁,董事会秘书",任职时间:2021-12-13至今,天齐锂业
李果,性别:男,学历:硕士,"李果,中国国籍,生于1983年,硕士学历。李果先生拥有8年锂行业经验,于2015年6月加入公司,先后担任战略发展经理,战略发展部经理、战略发展总监等职务。2021年1月至2022年4月任公司战略发展部总监,2022年4月至今任公司副总裁,负责公司的战略发展和投资并购事宜。",当前年龄:42,职务:副总裁(副总经理),任职时间:2022-04-28至今,天齐锂业
郭维,性别:男,学历:本科,"郭维,中国国籍,生于1970年,大学学历,2006年8月获遂宁市职称改革工作领导小组办公室授予工程师职称。郭维先生自2022年4月起担任公司执行副总裁,全面负责公司的运营、项目、采购及供应链、工艺技术及分子基地的运营和管理等事宜。郭维先生于锂行业拥有逾17年经验,其曾任职于成都市机械五金矿产进出口公司、成都天齐机械五矿进出口有限责任公司及天齐集团,并于该等公司担任多项职务。郭维先生于2004年9月加入本公司,其于2004年9月至2006年11月担任公司供应部部长、于2006年11月至2009年5月担任公司总经理助理、于2009年5月至2021年2月担任副总裁(副总经理)及2021年2月至2022年4月担任高级副总裁(副总经理)。",当前年龄:55,职务:执行副总裁(副总经理),任职时间:2022-04-28至今,天齐锂业
熊万渝,性别:女,学历:硕士,"熊万渝,中国国籍,生于1975年,会计学学士学位,在读研究生。熊万渝女士自2021年2月起担任公司副总裁,自2023年7月担任公司高级副总裁,主要负责公司政府事务、行政管理、信息技术管理、ESG及可持续发展、公共关系及群团事务管理等事宜。熊万渝女士于2008年4月至2014年8月任职于成都天齐进出口公司及成都天齐机械五矿进出口有限责任公司。随后,其于2014年8月加入本公司,并担任行政部部长、总监等至2021年2月。",当前年龄:50,职务:高级副总裁(副总经理),任职时间:2023-07-13至今,天齐锂业
向川,性别:男,学历:硕士,"向川,中国国籍,生于1958年,商业经济学硕士。向川先生自2020年2月起担任公司独立董事,利用其在财务、企业管理及上市公司治理风险领域的专长,为公司提供审计、风险识别、风险防范及公司合规运作方面的专业建议,负责监督本公司的营运及管理并就此提供独立意见。向川先生于1997年11月加入通威股份有限公司(600438.SH),任董事兼董事会秘书至2004年10月。其亦于2004年10月至2018年10月任新希望六和股份有限公司(000876.SZ)副总裁、董事会秘书。向川先生自2015年3月至2022年9月担任西安三角防务股份有限公司(300775.SZ)独立董事,2018年11月至2024年2月任成都蜀采商务咨询中心董事长兼总经理,自2019年10月起担任龙腾半导体股份有限公司独立非执行董事,自2020年4月起任四川羌山生物科技股份有限公司独立董事以及自2020年10月起担任上海美农生物科技股份有限公司(301156.SZ)独立董事,自2022年9月至今任雅安百图高新材料股份有限公司独立董事以及自2023年1月起担任希教国际控股有限公司(01765.HK)独立非执行董事。",当前年龄:67,职务:独立董事,任职时间:2023-04-14至今,天齐锂业
唐国琼,性别:女,学历:博士,"唐国琼,中国国籍,生于1963年,会计学博士。唐国琼女士自2020年11月起担任公司独立董事,利用其在财务、会计领域的专长,为公司提供审计、风险识别、风险防范及战略发展方面的专业建议,负责监督本公司的营运及管理并就此提供独立意见。唐国琼女士作为财务与会计行业的专家,自2009年12月起担任西南财经大学会计学教授,曾发表过多篇学术论文,并参与会计学教材编写。唐国琼女士曾于多家公司担任独立董事,包括:于2008年11月至2014年11月任职于创意信息技术股份有限公司(300366.SZ),于2011年1月至2016年12月任职于成都利君实业股份有限公司(002651.SZ),于2012年3月至2018年6月任职于茂业商业股份有限公司(600828.SH),于2012年3月至2018年12月任职于四川迅游网络科技股份有限公司(300467.SZ),于2014年2月至2019年8月任职于四川西部资源控股有限公司(600139.SH),于2015年4月至2021年4月任职于乐山电力股份有限公司(600644.SH),自2016年7月至2020年6月任职于西藏新博美商业管理连锁股份有限公司及成都东骏激光股份有限公司,自2019年1月至2024年1月担任成都圣诺生物科技股份有限公司(688117.SH)独立董事。此外,唐国琼女士自2018年7月起担任北京世纪德辰通信技术有限公司(现称北京德辰科技股份有限公司)独立董事,自2019年6月起担任北京思特奇信息技术股份有限公司(300608.SZ)独立董事,自2021年5月起担任四川明星电力股份有限公司(600101.SH)独立董事。此外,唐国琼女士现任四川省科技厅科技项目计划财务评审专家。",当前年龄:62,职务:独立董事,任职时间:2023-04-14至今,天齐锂业
黄玮(Huang Wei),性别:女,学历:博士,"黄玮,中国籍,生于1968年,香港大学房地产经济学博士,中山大学数学荣誉硕士。黄玮女士自2022年6月起担任公司独立董事,利用其在资产评估、金融和财务分析、ESG策略、商务咨询、风险识别及风险防范的专长,负责监督本公司的营运及管理并就此提供独立意见。现任香港评值国际有限公司的创办人及董事总经理、中联资产评估集团(香港分所)所长以及天福(开曼)控股有限公司独立董事、首创钜大有限公司独立董事,持有美国评估师协会高级评估师、特许皇家测量师学会专业会员和香港注册商业评估师资格。",当前年龄:57,职务:独立董事,任职时间:2023-04-14至今,天齐锂业
