dataview-body,dataview-body href,dataview-body (2),dataview-body href (2),dataview-body (3),red href,dataview-body href (4),red (2),red (3),red (4),red (5),red (6),red (7),red (8),red (9),red (10),red (11),green,green (2),dataview-body (6),dataview-body (7),green (3),green (4),green (5),green (6),desc_col,dataview-body (8)
1,https://quote.eastmoney.com/unify/r/0.002466,002466,https://data.eastmoney.com/stockdata/002466.html,天齐锂业,https://data.eastmoney.com/zjlx/002466.html,"https://guba.eastmoney.com/list,002466.html",29.82,1.26%,2382.46万,4.17%,1687.20万,2.95%,695.26万,1.22%,412.17万,0.72%,-2794.62万,-4.89%,,,,,,,,
2,https://quote.eastmoney.com/unify/r/0.000598,000598,https://data.eastmoney.com/stockdata/000598.html,兴蓉环境,https://data.eastmoney.com/zjlx/000598.html,"https://guba.eastmoney.com/list,000598.html",7.85%,1936.40万,1661.51万,9.15%,,,,,,,-274.89万,-1.30%,7.92,0.00%,-621.16万,-2.93%,-1040.35万,-4.91%,,
3,https://quote.eastmoney.com/unify/r/1.601838,601838,https://data.eastmoney.com/stockdata/601838.html,成都银行,https://data.eastmoney.com/zjlx/601838.html,"https://guba.eastmoney.com/list,601838.html",5.85%,858.05万,1562.67万,3.21%,704.62万,2.64%,697.11万,2.61%,,,15.61,-1.51%,,,-2259.78万,-8.46%,,,,
4,https://quote.eastmoney.com/unify/r/0.002312,002312,https://data.eastmoney.com/stockdata/002312.html,川发龙蟒,https://data.eastmoney.com/zjlx/002312.html,"https://guba.eastmoney.com/list,002312.html",6.93,0.29%,1309.96万,17.13%,3.81万,0.05%,1306.15万,17.08%,,,-591.72万,-7.74%,,,-718.25万,-9.39%,,,,
5,https://quote.eastmoney.com/unify/r/0.300841,300841,https://data.eastmoney.com/stockdata/300841.html,康华生物,https://data.eastmoney.com/zjlx/300841.html,"https://guba.eastmoney.com/list,300841.html",52.06,1.22%,1085.56万,12.42%,673.40万,7.71%,412.16万,4.72%,,,-225.47万,-2.58%,,,-860.09万,-9.84%,,,,
6,https://quote.eastmoney.com/unify/r/1.600603,600603,https://data.eastmoney.com/stockdata/600603.html,广汇物流,https://data.eastmoney.com/zjlx/600603.html,"https://guba.eastmoney.com/list,600603.html",5.31,0.57%,1079.83万,10.53%,492.80万,4.80%,587.03万,5.72%,398.11万,3.88%,-1477.93万,-14.41%,,,,,,,,
7,https://quote.eastmoney.com/unify/r/0.000876,000876,https://data.eastmoney.com/stockdata/000876.html,新 希 望,https://data.eastmoney.com/zjlx/000876.html,"https://guba.eastmoney.com/list,000876.html",9.37,0.21%,1058.61万,10.34%,298.60万,2.92%,760.01万,7.42%,,,-829.68万,-8.10%,,,-228.93万,-2.24%,,,,
8,https://quote.eastmoney.com/unify/r/1.601208,601208,https://data.eastmoney.com/stockdata/601208.html,东材科技,https://data.eastmoney.com/zjlx/601208.html,"https://guba.eastmoney.com/list,601208.html",6.83,2.71%,952.37万,6.54%,617.73万,4.24%,334.64万,2.30%,,,-616.47万,-4.23%,,,-335.91万,-2.30%,,,,
9,https://quote.eastmoney.com/unify/r/0.000568,000568,https://data.eastmoney.com/stockdata/000568.html,泸州老窖,https://data.eastmoney.com/zjlx/000568.html,"https://guba.eastmoney.com/list,000568.html",0.85%,2432.65万,898.96万,2.29%,1092.44万,1.03%,,,,,142.61,-0.96%,,,-1533.69万,-1.44%,-1991.40万,-1.87%,,
10,https://quote.eastmoney.com/unify/r/0.000155,000155,https://data.eastmoney.com/stockdata/000155.html,川能动力,https://data.eastmoney.com/zjlx/000155.html,"https://guba.eastmoney.com/list,000155.html",9.55%,293.77万,860.67万,3.26%,566.90万,6.29%,,,,,10.83,-0.18%,,,-843.02万,-9.35%,-17.66万,-0.20%,,
11,https://quote.eastmoney.com/unify/r/1.600039,600039,https://data.eastmoney.com/stockdata/600039.html,四川路桥,https://data.eastmoney.com/zjlx/600039.html,"https://guba.eastmoney.com/list,600039.html",6.85%,901.00万,763.49万,8.09%,1404.00,,,,,,7.88,-1.38%,0.00%,,-137.51万,-1.23%,-763.63万,-6.85%,,
12,https://quote.eastmoney.com/unify/r/0.000858,000858,https://data.eastmoney.com/stockdata/000858.html,五 粮 液,https://data.eastmoney.com/zjlx/000858.html,"https://guba.eastmoney.com/list,000858.html",0.39%,3440.60万,641.18万,2.11%,690.31万,0.42%,,,,,131.00,-0.43%,,,-2799.42万,-1.72%,-1331.49万,-0.82%,,
13,https://quote.eastmoney.com/unify/r/0.002697,002697,https://data.eastmoney.com/stockdata/002697.html,红旗连锁,https://data.eastmoney.com/zjlx/002697.html,"https://guba.eastmoney.com/list,002697.html",4.78,1.70%,551.03万,7.48%,284.81万,3.86%,266.22万,3.61%,129.30万,1.75%,-680.33万,-9.23%,,,,,,,,
14,https://quote.eastmoney.com/unify/r/1.688709,688709,https://data.eastmoney.com/stockdata/688709.html,成都华微,https://data.eastmoney.com/zjlx/688709.html,"https://guba.eastmoney.com/list,688709.html",19.44,0.78%,462.67万,7.42%,84.08万,1.35%,378.59万,6.07%,198.08万,3.18%,-660.75万,-10.59%,,,,,,,,
15,https://quote.eastmoney.com/unify/r/0.000688,000688,https://data.eastmoney.com/stockdata/000688.html,国城矿业,https://data.eastmoney.com/zjlx/000688.html,"https://guba.eastmoney.com/list,000688.html",9.56,1.81%,413.18万,7.29%,126.31万,2.23%,286.87万,5.06%,191.22万,3.38%,-604.40万,-10.67%,,,,,,,,
16,https://quote.eastmoney.com/unify/r/0.002497,002497,https://data.eastmoney.com/stockdata/002497.html,雅化集团,https://data.eastmoney.com/zjlx/002497.html,"https://guba.eastmoney.com/list,002497.html",8.91,0.22%,390.05万,5.62%,146.99万,2.12%,243.06万,3.50%,,,-145.50万,-2.10%,,,-244.55万,-3.52%,,,,
17,https://quote.eastmoney.com/unify/r/0.301050,301050,https://data.eastmoney.com/stockdata/301050.html,雷电微力,https://data.eastmoney.com/zjlx/301050.html,"https://guba.eastmoney.com/list,301050.html",46.57,0.13%,374.98万,2.59%,208.62万,1.44%,166.36万,1.15%,430.84万,2.97%,-805.81万,-5.56%,,,,,,,,
18,https://quote.eastmoney.com/unify/r/1.600793,600793,https://data.eastmoney.com/stockdata/600793.html,宜宾纸业,https://data.eastmoney.com/zjlx/600793.html,"https://guba.eastmoney.com/list,600793.html",9.14,0.99%,354.21万,17.78%,146.40万,7.35%,207.81万,10.43%,,,-11.10万,-0.56%,,,-343.11万,-17.22%,,,,
19,https://quote.eastmoney.com/unify/r/1.688302,688302,https://data.eastmoney.com/stockdata/688302.html,海创药业...,https://data.eastmoney.com/zjlx/688302.html,"https://guba.eastmoney.com/list,688302.html",24.91,5.77%,331.35万,12.01%,72.24万,2.62%,259.11万,9.40%,120.23万,4.36%,-451.58万,-16.37%,,,,,,,,
20,https://quote.eastmoney.com/unify/r/1.688283,688283,https://data.eastmoney.com/stockdata/688283.html,坤恒顺维,https://data.eastmoney.com/zjlx/688283.html,"https://guba.eastmoney.com/list,688283.html",6.53%,404.82万,318.65万,8.29%,682.93万,13.99%,,,,,20.29,-8.40%,,,-86.17万,-1.77%,-1001.58万,-20.52%,,
21,https://quote.eastmoney.com/unify/r/0.300425,300425,https://data.eastmoney.com/stockdata/300425.html,中建环能,https://data.eastmoney.com/zjlx/300425.html,"https://guba.eastmoney.com/list,300425.html",4.22,0.24%,281.96万,10.47%,126.26万,4.69%,155.70万,5.78%,,,-253.03万,-9.39%,,,-28.92万,-1.07%,,,,
22,https://quote.eastmoney.com/unify/r/1.603477,603477,https://data.eastmoney.com/stockdata/603477.html,巨星农牧,https://data.eastmoney.com/zjlx/603477.html,"https://guba.eastmoney.com/list,603477.html",1.63%,403.00万,267.66万,2.45%,379.59万,2.31%,,,,,27.44,-3.48%,,,-135.34万,-0.82%,-647.25万,-3.94%,,
23,https://quote.eastmoney.com/unify/r/1.688222,688222,https://data.eastmoney.com/stockdata/688222.html,成都先导,https://data.eastmoney.com/zjlx/688222.html,"https://guba.eastmoney.com/list,688222.html",4.39%,217.77万,216.48万,4.42%,524.13万,10.64%,,,,,10.78,-3.32%,,,-1.29万,-0.03%,-740.62万,-15.04%,,
24,https://quote.eastmoney.com/unify/r/1.600391,600391,https://data.eastmoney.com/stockdata/600391.html,航发科技,https://data.eastmoney.com/zjlx/600391.html,"https://guba.eastmoney.com/list,600391.html",6.14%,102.70万,205.23万,3.07%,102.54万,3.07%,106.31万,3.18%,,,14.94,-1.45%,,,-311.55万,-9.32%,,,,
25,https://quote.eastmoney.com/unify/r/0.002539,002539,https://data.eastmoney.com/stockdata/002539.html,云图控股,https://data.eastmoney.com/zjlx/002539.html,"https://guba.eastmoney.com/list,002539.html",4.97%,151.57万,201.54万,3.74%,49.97万,1.23%,96.42万,2.38%,,,7.19,-0.55%,,,-297.96万,-7.35%,,,,
26,https://quote.eastmoney.com/unify/r/0.002749,002749,https://data.eastmoney.com/stockdata/002749.html,国光股份,https://data.eastmoney.com/zjlx/002749.html,"https://guba.eastmoney.com/list,002749.html",4.56%,198.31万,198.31万,4.56%,,,,,,,15.42,-2.03%,0.00,0.00%,-85.39万,-1.96%,-112.92万,-2.60%,,
27,https://quote.eastmoney.com/unify/r/1.603053,603053,https://data.eastmoney.com/stockdata/603053.html,成都燃气,https://data.eastmoney.com/zjlx/603053.html,"https://guba.eastmoney.com/list,603053.html",9.93,0.10%,183.32万,7.90%,22.35万,0.96%,160.98万,6.94%,,,-135.89万,-5.86%,,,-47.44万,-2.04%,,,,
28,https://quote.eastmoney.com/unify/r/0.000593,000593,https://data.eastmoney.com/stockdata/000593.html,德龙汇能,https://data.eastmoney.com/zjlx/000593.html,"https://guba.eastmoney.com/list,000593.html",9.31%,164.01万,164.01万,9.31%,81.50万,4.63%,,,,,4.83,-0.62%,0.00,0.00%,-245.51万,-13.94%,,,,
29,https://quote.eastmoney.com/unify/r/0.300937,300937,https://data.eastmoney.com/stockdata/300937.html,药易购,https://data.eastmoney.com/zjlx/300937.html,"https://guba.eastmoney.com/list,300937.html",20.84,0.24%,135.72万,5.05%,230.08万,8.56%,176.15万,6.55%,,,-94.36万,-3.51%,,,-311.87万,-11.60%,,,,
30,https://quote.eastmoney.com/unify/r/0.301239,301239,https://data.eastmoney.com/stockdata/301239.html,普瑞眼科,https://data.eastmoney.com/zjlx/301239.html,"https://guba.eastmoney.com/list,301239.html",3.00%,132.83万,132.83万,3.00%,32.71万,0.74%,,,,,35.15,-0.11%,0.00,0.00%,-165.54万,-3.74%,,,,
31,https://quote.eastmoney.com/unify/r/0.002190,002190,https://data.eastmoney.com/stockdata/002190.html,成飞集成,https://data.eastmoney.com/zjlx/002190.html,"https://guba.eastmoney.com/list,002190.html",7.80%,98.72万,98.72万,7.80%,,,,,,,13.92,-0.93%,0.00,0.00%,-2.19万,-0.17%,-96.52万,-7.63%,,
32,https://quote.eastmoney.com/unify/r/0.300987,300987,https://data.eastmoney.com/stockdata/300987.html,川网传媒,https://data.eastmoney.com/zjlx/300987.html,"https://guba.eastmoney.com/list,300987.html",3.94%,125.10万,86.78万,5.69%,225.08万,10.23%,,,,,12.35,-1.12%,,,-38.31万,-1.74%,-311.86万,-14.17%,,
33,https://quote.eastmoney.com/unify/r/1.600331,600331,https://data.eastmoney.com/stockdata/600331.html,宏达股份,https://data.eastmoney.com/zjlx/600331.html,"https://guba.eastmoney.com/list,600331.html",0.84%,425.60万,83.11万,4.29%,636.27万,6.41%,,,,,6.20,-0.32%,,,-342.49万,-3.45%,-719.38万,-7.24%,,
34,https://quote.eastmoney.com/unify/r/0.300535,300535,https://data.eastmoney.com/stockdata/300535.html,达威股份,https://data.eastmoney.com/zjlx/300535.html,"https://guba.eastmoney.com/list,300535.html",5.91%,79.61万,79.61万,5.91%,72.64万,5.39%,,,,,11.83,-1.42%,0.00,0.00%,-152.25万,-11.30%,,,,
35,https://quote.eastmoney.com/unify/r/0.002951,002951,https://data.eastmoney.com/stockdata/002951.html,*ST金时,https://data.eastmoney.com/zjlx/002951.html,"https://guba.eastmoney.com/list,002951.html",5.59,1.64%,77.49万,14.05%,109.40万,19.84%,23.69万,4.30%,,,-31.91万,-5.79%,,,-101.18万,-18.35%,,,,
36,https://quote.eastmoney.com/unify/r/0.300463,300463,https://data.eastmoney.com/stockdata/300463.html,迈克生物,https://data.eastmoney.com/zjlx/300463.html,"https://guba.eastmoney.com/list,300463.html",1.85%,60.45万,60.45万,1.85%,291.01万,8.88%,,,,,11.23,-0.44%,0.00,0.00%,-351.46万,-10.73%,,,,
37,https://quote.eastmoney.com/unify/r/0.002798,002798,https://data.eastmoney.com/stockdata/002798.html,帝欧家居,https://data.eastmoney.com/zjlx/002798.html,"https://guba.eastmoney.com/list,002798.html",3.41,0.89%,51.48万,3.11%,51.48万,3.11%,,,,,-31.69万,-1.91%,0.00,0.00%,-19.79万,-1.19%,,,,
38,https://quote.eastmoney.com/unify/r/0.002259,002259,https://data.eastmoney.com/stockdata/002259.html,ST升达,https://data.eastmoney.com/zjlx/002259.html,"https://guba.eastmoney.com/list,002259.html",2.45,0.82%,50.43万,9.64%,50.43万,9.64%,112.46万,21.50%,,,-162.89万,-31.14%,0.00,0.00%,,,,,,
39,https://quote.eastmoney.com/unify/r/1.600779,600779,https://data.eastmoney.com/stockdata/600779.html,水井坊,https://data.eastmoney.com/zjlx/600779.html,"https://guba.eastmoney.com/list,600779.html",0.57%,290.70万,43.82万,3.76%,559.32万,7.24%,,,,,38.16,-0.88%,,,-246.87万,-3.20%,-603.14万,-7.81%,,
40,https://quote.eastmoney.com/unify/r/0.000586,000586,https://data.eastmoney.com/stockdata/000586.html,汇源通信,https://data.eastmoney.com/zjlx/000586.html,"https://guba.eastmoney.com/list,000586.html",2.71%,41.50万,41.50万,2.71%,32.42万,2.11%,,,,,7.70,-1.41%,0.00,0.00%,-73.92万,-4.82%,,,,
41,https://quote.eastmoney.com/unify/r/1.688528,688528,https://data.eastmoney.com/stockdata/688528.html,秦川物联,https://data.eastmoney.com/zjlx/688528.html,"https://guba.eastmoney.com/list,688528.html",7.06%,41.43万,41.43万,7.06%,44.54万,7.59%,,,,,7.64,-1.67%,0.00,0.00%,-85.97万,-14.64%,,,,
42,https://quote.eastmoney.com/unify/r/1.688776,688776,https://data.eastmoney.com/stockdata/688776.html,国光电气,https://data.eastmoney.com/zjlx/688776.html,"https://guba.eastmoney.com/list,688776.html",0.77%,28.97万,28.97万,0.77%,146.90万,3.89%,,,,,52.96,-2.32%,0.00,0.00%,-175.87万,-4.66%,,,,
