dataview-body,dataview-body href,dataview-body (2),dataview-body href (2),dataview-body (3),red href,dataview-body href (4),green,green (2),desc_col,dataview-body (6),dataview-body (7),dataview-body (8),green (3),green (4),green (5),green (6),red (2),red (3),green (8),red (4),red (5),red (6),red (7),green (9),green (10)
51,https://quote.eastmoney.com/unify/r/0.833943,833943,https://data.eastmoney.com/stockdata/833943.html,优机股份,https://data.eastmoney.com/zjlx/833943.html,"https://guba.eastmoney.com/list,833943.html",7.32,-1.61%,0.00,0.00%,0.00,0.00%,-13.53万,-8.71%,-2467.00,-0.16%,,,,,,,,,
52,https://quote.eastmoney.com/unify/r/0.832566,832566,https://data.eastmoney.com/stockdata/832566.html,梓橦宫,https://data.eastmoney.com/zjlx/832566.html,"https://guba.eastmoney.com/list,832566.html",6.73,-0.74%,0.00,0.00%,0.00,0.00%,-29.51万,-21.00%,-25.24万,-17.96%,,,,,,,,,
53,https://quote.eastmoney.com/unify/r/0.301336,301336,https://data.eastmoney.com/stockdata/301336.html,趣睡科技,https://data.eastmoney.com/zjlx/301336.html,"https://guba.eastmoney.com/list,301336.html",29.43,-1.18%,0.00,0.00%,0.00,0.00%,-101.88万,-13.64%,,,101.88万,13.64%,,,,,,,
54,https://quote.eastmoney.com/unify/r/1.603759,603759,https://data.eastmoney.com/stockdata/603759.html,海天股份,https://data.eastmoney.com/zjlx/603759.html,"https://guba.eastmoney.com/list,603759.html",6.04,-0.66%,,0.00,0.00%,,-0.19%,-9288.00,-0.19%,-16.02万,16.95万,3.43%,-3.24%,,,,,,
55,https://quote.eastmoney.com/unify/r/0.000935,000935,https://data.eastmoney.com/stockdata/000935.html,四川双马,https://data.eastmoney.com/zjlx/000935.html,"https://guba.eastmoney.com/list,000935.html",-0.21%,-13.89万,,,,,-0.74%,-5.40万,-0.29%,-3.97万,12.30,0.24%,,9.93万,0.53%,9.36万,0.50%,,
56,https://quote.eastmoney.com/unify/r/0.301256,301256,https://data.eastmoney.com/stockdata/301256.html,华融化学,https://data.eastmoney.com/zjlx/301256.html,"https://guba.eastmoney.com/list,301256.html",6.22,-1.11%,,0.00,0.00%,,-0.94%,-8.64万,-0.94%,-8.64万,49.83万,5.42%,-41.19万,,,,,,
57,https://quote.eastmoney.com/unify/r/0.002630,002630,https://data.eastmoney.com/stockdata/002630.html,华西能源,https://data.eastmoney.com/zjlx/002630.html,"https://guba.eastmoney.com/list,002630.html",2.21,-0.90%,,,,,-0.55%,-156.98万,-7.84%,-10.94万,146.04万,7.29%,-84.83万,95.77万,4.78%,,,,
58,https://quote.eastmoney.com/unify/r/1.688737,688737,https://data.eastmoney.com/stockdata/688737.html,中自科技,https://data.eastmoney.com/zjlx/688737.html,"https://guba.eastmoney.com/list,688737.html",16.07,-0.80%,,,,,-0.95%,-6552.00,-0.05%,-13.02万,8732.00,0.06%,-12.36万,12.15万,0.89%,,,,
59,https://quote.eastmoney.com/unify/r/0.002651,002651,https://data.eastmoney.com/stockdata/002651.html,利君股份,https://data.eastmoney.com/zjlx/002651.html,"https://guba.eastmoney.com/list,002651.html",5.39,-1.46%,,0.00,0.00%,,-0.84%,-15.78万,-0.84%,-15.78万,20.78万,1.11%,-5.01万,,,,,,
60,https://quote.eastmoney.com/unify/r/0.430425,430425,https://data.eastmoney.com/stockdata/430425.html,乐创技术,https://data.eastmoney.com/zjlx/430425.html,"https://guba.eastmoney.com/list,430425.html",10.69,-4.21%,,0.00,0.00%,,-1.36%,-23.83万,-1.36%,-23.83万,36.23万,2.07%,-300.47万,,,,,,
61,https://quote.eastmoney.com/unify/r/0.833781,833781,https://data.eastmoney.com/stockdata/833781.html,瑞奇智造,https://data.eastmoney.com/zjlx/833781.html,"https://guba.eastmoney.com/list,833781.html",4.13,-0.96%,,0.00,0.00%,,-13.39%,-24.60万,-13.39%,-24.60万,,,-61.13万,,,,,-7.09万,-3.86%
62,https://quote.eastmoney.com/unify/r/0.300022,300022,https://data.eastmoney.com/stockdata/300022.html,吉峰科技,https://data.eastmoney.com/zjlx/300022.html,"https://guba.eastmoney.com/list,300022.html",-0.47%,-24.90万,,0.00,0.00%,,-0.47%,-563.47万,-10.60%,-24.90万,3.77,1.07%,,588.37万,11.07%,,,,
63,https://quote.eastmoney.com/unify/r/0.300470,300470,https://data.eastmoney.com/stockdata/300470.html,中密控股,https://data.eastmoney.com/zjlx/300470.html,"https://guba.eastmoney.com/list,300470.html",33.18,-0.45%,,0.00,0.00%,,-1.55%,-26.42万,-1.55%,-26.42万,37.21万,2.18%,-10.78万,,,,,-0.63%,
