dataview-body,dataview-body href,dataview-body (2),dataview-body href (2),dataview-body (3),red href,dataview-body href (4),green,green (2),green (3),green (4),dataview-body (6),dataview-body (7),green (5),green (6),red (2),red (3),red (4),red (5),green (7),green (8),red (6),red (7),green (9),green (10)
101,https://quote.eastmoney.com/unify/r/0.002272,002272,https://data.eastmoney.com/stockdata/002272.html,川润股份,https://data.eastmoney.com/zjlx/002272.html,"https://guba.eastmoney.com/list,002272.html",4.44,-1.99%,-208.31万,-8.22%,0.00,0.00%,-208.31万,-8.22%,42.18万,1.67%,166.14万,6.56%,,,,,,
102,https://quote.eastmoney.com/unify/r/0.000810,000810,https://data.eastmoney.com/stockdata/000810.html,创维数字,https://data.eastmoney.com/zjlx/000810.html,"https://guba.eastmoney.com/list,000810.html",8.36,-0.83%,-212.88万,-3.09%,0.00,0.00%,-212.88万,-3.09%,422.05万,6.12%,,,-209.17万,-3.04%,,,,
103,https://quote.eastmoney.com/unify/r/0.002357,002357,https://data.eastmoney.com/stockdata/002357.html,富临运业,https://data.eastmoney.com/zjlx/002357.html,"https://guba.eastmoney.com/list,002357.html",5.22,-0.76%,-217.35万,-10.10%,0.00,0.00%,-217.35万,-10.10%,256.73万,11.93%,,,-39.38万,-1.83%,,,,
104,https://quote.eastmoney.com/unify/r/0.300101,300101,https://data.eastmoney.com/stockdata/300101.html,振芯科技,https://data.eastmoney.com/zjlx/300101.html,"https://guba.eastmoney.com/list,300101.html",14.58,-1.09%,-224.83万,-3.87%,,,-246.14万,-4.24%,21.31万,0.37%,226.22万,3.90%,-1.39万,-0.02%,,,,
105,https://quote.eastmoney.com/unify/r/0.300820,300820,https://data.eastmoney.com/stockdata/300820.html,英杰电气,https://data.eastmoney.com/zjlx/300820.html,"https://guba.eastmoney.com/list,300820.html",36.98,-4.40%,-225.88万,-1.61%,,,-672.56万,-4.79%,446.68万,3.18%,124.51万,0.89%,,,101.37万,0.72%,,
106,https://quote.eastmoney.com/unify/r/0.300249,300249,https://data.eastmoney.com/stockdata/300249.html,依米康,https://data.eastmoney.com/zjlx/300249.html,"https://guba.eastmoney.com/list,300249.html",6.43,-2.43%,-225.88万,-6.68%,0.00,0.00%,-225.88万,-6.68%,19.65万,0.58%,206.24万,6.10%,,,,,,
107,https://quote.eastmoney.com/unify/r/1.688053,688053,https://data.eastmoney.com/stockdata/688053.html,思科瑞,https://data.eastmoney.com/zjlx/688053.html,"https://guba.eastmoney.com/list,688053.html",22.33,-1.80%,-229.47万,-8.05%,,,-17.88万,-0.63%,321.53万,11.28%,,,-211.60万,-7.42%,,,-92.05万,-3.23%
108,https://quote.eastmoney.com/unify/r/0.300559,300559,https://data.eastmoney.com/stockdata/300559.html,佳发教育,https://data.eastmoney.com/zjlx/300559.html,"https://guba.eastmoney.com/list,300559.html",9.50,-2.86%,-239.82万,-6.87%,0.00,0.00%,-239.82万,-6.87%,155.80万,4.47%,84.02万,2.41%,,,,,,
109,https://quote.eastmoney.com/unify/r/0.300019,300019,https://data.eastmoney.com/stockdata/300019.html,硅宝科技,https://data.eastmoney.com/zjlx/300019.html,"https://guba.eastmoney.com/list,300019.html",-8.24%,-118.36万,-247.36万,-3.94%,,,-129.00万,-4.30%,13.23,0.08%,165.83万,5.52%,,,81.53万,2.72%,,
110,https://quote.eastmoney.com/unify/r/1.600378,600378,https://data.eastmoney.com/stockdata/600378.html,昊华科技,https://data.eastmoney.com/zjlx/600378.html,"https://guba.eastmoney.com/list,600378.html",28.28,-1.81%,-248.34万,-4.11%,,,-181.23万,-3.00%,1160.88万,19.20%,,,-67.11万,-1.11%,,,-912.54万,-15.09%
111,https://quote.eastmoney.com/unify/r/1.601811,601811,https://data.eastmoney.com/stockdata/601811.html,新华文轩,https://data.eastmoney.com/zjlx/601811.html,"https://guba.eastmoney.com/list,601811.html",14.73,-1.27%,-249.13万,-7.41%,,,-5888.00,-0.02%,313.22万,9.32%,,,-248.54万,-7.39%,,,-64.09万,-1.91%
112,https://quote.eastmoney.com/unify/r/1.688636,688636,https://data.eastmoney.com/stockdata/688636.html,智明达,https://data.eastmoney.com/zjlx/688636.html,"https://guba.eastmoney.com/list,688636.html",20.36,-2.82%,-256.62万,-5.02%,,,-47.66万,-0.93%,62.80万,1.23%,193.81万,3.79%,-208.96万,-4.09%,,,,
113,https://quote.eastmoney.com/unify/r/1.603027,603027,https://data.eastmoney.com/stockdata/603027.html,千禾味业,https://data.eastmoney.com/zjlx/603027.html,"https://guba.eastmoney.com/list,603027.html",13.35,-0.37%,-275.50万,-4.33%,,,-209.16万,-3.28%,410.37万,6.44%,,,-66.34万,-1.04%,,,-134.87万,-2.12%
114,https://quote.eastmoney.com/unify/r/0.301117,301117,https://data.eastmoney.com/stockdata/301117.html,佳缘科技,https://data.eastmoney.com/zjlx/301117.html,"https://guba.eastmoney.com/list,301117.html",24.32,-3.87%,-275.76万,-6.63%,0.00,0.00%,-275.76万,-6.63%,217.23万,5.22%,58.53万,1.41%,,,,,,
115,https://quote.eastmoney.com/unify/r/0.300366,300366,https://data.eastmoney.com/stockdata/300366.html,创意信息,https://data.eastmoney.com/zjlx/300366.html,"https://guba.eastmoney.com/list,300366.html",7.18,-2.84%,-283.33万,-3.76%,,,-250.50万,-3.32%,54.86万,0.73%,228.47万,3.03%,-32.83万,-0.44%,,,,
116,https://quote.eastmoney.com/unify/r/0.300492,300492,https://data.eastmoney.com/stockdata/300492.html,华图山鼎,https://data.eastmoney.com/zjlx/300492.html,"https://guba.eastmoney.com/list,300492.html",90.22,-2.02%,-305.28万,-7.36%,,,-386.57万,-9.32%,81.29万,1.96%,227.66万,5.49%,,,77.63万,1.87%,,
117,https://quote.eastmoney.com/unify/r/0.001337,001337,https://data.eastmoney.com/stockdata/001337.html,四川黄金,https://data.eastmoney.com/zjlx/001337.html,"https://guba.eastmoney.com/list,001337.html",23.18,-0.30%,-308.08万,-6.70%,,,-8.80万,-0.19%,525.93万,11.43%,,,-299.27万,-6.51%,,,-217.85万,-4.74%
118,https://quote.eastmoney.com/unify/r/0.002926,002926,https://data.eastmoney.com/stockdata/002926.html,华西证券,https://data.eastmoney.com/zjlx/002926.html,"https://guba.eastmoney.com/list,002926.html",-7.62%,-6.31万,-309.16万,-0.16%,,,-302.85万,-7.46%,6.62,0.46%,74.94万,1.85%,,,234.21万,5.77%,,
119,https://quote.eastmoney.com/unify/r/1.688297,688297,https://data.eastmoney.com/stockdata/688297.html,中无人机,https://data.eastmoney.com/zjlx/688297.html,"https://guba.eastmoney.com/list,688297.html",31.92,-2.33%,-318.01万,-5.29%,,,-281.23万,-4.67%,162.30万,2.70%,155.71万,2.59%,-36.78万,-0.61%,,,,
120,https://quote.eastmoney.com/unify/r/0.000757,000757,https://data.eastmoney.com/stockdata/000757.html,浩物股份,https://data.eastmoney.com/zjlx/000757.html,"https://guba.eastmoney.com/list,000757.html",-14.06%,-336.49万,-336.49万,-14.06%,0.00,0.00%,-26.78万,-1.12%,2.60,1.17%,363.27万,15.18%,,,,,,
121,https://quote.eastmoney.com/unify/r/0.001288,001288,https://data.eastmoney.com/stockdata/001288.html,运机集团,https://data.eastmoney.com/zjlx/001288.html,"https://guba.eastmoney.com/list,001288.html",27.06,-2.80%,-337.03万,-7.68%,,,-246.78万,-5.62%,360.64万,8.22%,,,-90.25万,-2.06%,,,-23.60万,-0.54%
