dataview-body,hover href,hover,dataview-body href,dataview-body (2),red href,dataview-body href (3),green,green (2),green (3),green (4),green (5),green (6),green (7),green (8),red (2),red (3),red (4),red (5),green (9),green (10),red (6),red (7)
151,https://quote.eastmoney.com/unify/r/0.000629,000629,https://data.eastmoney.com/stockdata/000629.html,钒钛股份,https://data.eastmoney.com/zjlx/000629.html,"https://guba.eastmoney.com/list,000629.html",2.54,-0.39%,-880.29万,-10.06%,-606.55万,-6.93%,-273.75万,-3.13%,224.15万,2.56%,656.14万,7.50%,,,,
152,https://quote.eastmoney.com/unify/r/0.002977,002977,https://data.eastmoney.com/stockdata/002977.html,天箭科技,https://data.eastmoney.com/zjlx/002977.html,"https://guba.eastmoney.com/list,002977.html",27.84,-3.47%,-896.14万,-12.18%,-444.13万,-6.04%,-452.01万,-6.14%,950.70万,12.92%,,,-54.56万,-0.74%,,
153,https://quote.eastmoney.com/unify/r/1.600839,600839,https://data.eastmoney.com/stockdata/600839.html,四川长虹,https://data.eastmoney.com/zjlx/600839.html,"https://guba.eastmoney.com/list,600839.html",-4.40%,-539.90万,-933.21万,-2.55%,-393.31万,-1.86%,,,4.48,0.22%,205.59万,0.97%,,,727.62万,3.43%
154,https://quote.eastmoney.com/unify/r/0.301233,301233,https://data.eastmoney.com/stockdata/301233.html,盛帮股份,https://data.eastmoney.com/zjlx/301233.html,"https://guba.eastmoney.com/list,301233.html",35.96,-3.77%,-942.90万,-22.40%,-214.81万,-5.10%,-728.09万,-17.30%,281.08万,6.68%,661.81万,15.72%,,,,
155,https://quote.eastmoney.com/unify/r/1.688629,688629,https://data.eastmoney.com/stockdata/688629.html,华丰科技,https://data.eastmoney.com/zjlx/688629.html,"https://guba.eastmoney.com/list,688629.html",25.55,-4.38%,-945.06万,-7.57%,-550.19万,-4.41%,-394.87万,-3.16%,2353.72万,18.86%,,,-1408.66万,-11.29%,,
156,https://quote.eastmoney.com/unify/r/1.688117,688117,https://data.eastmoney.com/stockdata/688117.html,圣诺生物,https://data.eastmoney.com/zjlx/688117.html,"https://guba.eastmoney.com/list,688117.html",22.80,-5.00%,-967.57万,-17.11%,-279.16万,-4.94%,-688.40万,-12.17%,380.15万,6.72%,587.42万,10.38%,,,,
157,https://quote.eastmoney.com/unify/r/0.002023,002023,https://data.eastmoney.com/stockdata/002023.html,海特高新,https://data.eastmoney.com/zjlx/002023.html,"https://guba.eastmoney.com/list,002023.html",8.99,-1.75%,-1005.12万,-14.35%,-250.63万,-3.58%,-754.49万,-10.77%,369.06万,5.27%,636.07万,9.08%,,,,
158,https://quote.eastmoney.com/unify/r/1.688511,688511,https://data.eastmoney.com/stockdata/688511.html,天微电子,https://data.eastmoney.com/zjlx/688511.html,"https://guba.eastmoney.com/list,688511.html",15.45,-8.15%,-1045.46万,-13.29%,-548.52万,-6.97%,-496.94万,-6.32%,255.36万,3.25%,790.10万,10.04%,,,,
159,https://quote.eastmoney.com/unify/r/1.600979,600979,https://data.eastmoney.com/stockdata/600979.html,广安爱众,https://data.eastmoney.com/zjlx/600979.html,"https://guba.eastmoney.com/list,600979.html",3.40,-2.30%,-1062.88万,-13.25%,-525.49万,-6.55%,-537.39万,-6.70%,322.89万,4.03%,739.99万,9.23%,,,,
160,https://quote.eastmoney.com/unify/r/1.688506,688506,https://data.eastmoney.com/stockdata/688506.html,百利天恒...,https://data.eastmoney.com/zjlx/688506.html,"https://guba.eastmoney.com/list,688506.html",174.80,-2.67%,-1067.09万,-10.37%,-634.51万,-6.17%,-432.58万,-4.20%,1000.70万,9.73%,66.39万,0.65%,,,,
161,https://quote.eastmoney.com/unify/r/0.000888,000888,https://data.eastmoney.com/stockdata/000888.html,峨眉山Ａ,https://data.eastmoney.com/zjlx/000888.html,"https://guba.eastmoney.com/list,000888.html",11.34,-0.70%,-1132.67万,-5.02%,-146.65万,-0.65%,-986.03万,-4.37%,1474.98万,6.54%,,,-342.30万,-1.52%,,
162,https://quote.eastmoney.com/unify/r/0.002773,002773,https://data.eastmoney.com/stockdata/002773.html,康弘药业,https://data.eastmoney.com/zjlx/002773.html,"https://guba.eastmoney.com/list,002773.html",21.41,-1.61%,-1243.11万,-9.12%,-944.78万,-6.93%,-298.33万,-2.19%,1318.51万,9.68%,,,-75.40万,-0.55%,,
163,https://quote.eastmoney.com/unify/r/1.600674,600674,https://data.eastmoney.com/stockdata/600674.html,川投能源,https://data.eastmoney.com/zjlx/600674.html,"https://guba.eastmoney.com/list,600674.html",-7.52%,-1921.49万,-1814.67万,-7.96%,,,,,19.71,0.31%,106.82万,0.44%,,,791.32万,3.28%
164,https://quote.eastmoney.com/unify/r/1.600392,600392,https://data.eastmoney.com/stockdata/600392.html,XD盛和资,https://data.eastmoney.com/zjlx/600392.html,"https://guba.eastmoney.com/list,600392.html",8.20,-0.85%,-1819.80万,-16.43%,-1443.03万,-13.03%,-376.77万,-3.40%,602.51万,5.44%,1217.28万,10.99%,,,,
165,https://quote.eastmoney.com/unify/r/0.000801,000801,https://data.eastmoney.com/stockdata/000801.html,四川九洲,https://data.eastmoney.com/zjlx/000801.html,"https://guba.eastmoney.com/list,000801.html",9.50,-1.96%,-2012.56万,-15.64%,-480.36万,-3.73%,-1532.20万,-11.91%,2150.77万,16.71%,,,-138.21万,-1.07%,,
166,https://quote.eastmoney.com/unify/r/0.300696,300696,https://data.eastmoney.com/stockdata/300696.html,爱乐达,https://data.eastmoney.com/zjlx/300696.html,"https://guba.eastmoney.com/list,300696.html",16.10,-6.40%,-2079.31万,-7.07%,-469.05万,-1.60%,-1610.26万,-5.48%,2854.85万,9.71%,,,-775.54万,-2.64%,,
167,https://quote.eastmoney.com/unify/r/1.600505,600505,https://data.eastmoney.com/stockdata/600505.html,西昌电力,https://data.eastmoney.com/zjlx/600505.html,"https://guba.eastmoney.com/list,600505.html",10.98,-4.19%,-2540.57万,-9.67%,-609.61万,-2.32%,-1930.95万,-7.35%,3515.41万,13.38%,,,-974.85万,-3.71%,,
168,https://quote.eastmoney.com/unify/r/1.600702,600702,https://data.eastmoney.com/stockdata/600702.html,舍得酒业,https://data.eastmoney.com/zjlx/600702.html,"https://guba.eastmoney.com/list,600702.html",56.59,-1.55%,-3045.53万,-10.77%,-362.88万,-1.28%,-2682.65万,-9.49%,207.07万,0.73%,2838.46万,10.04%,,,,
169,https://quote.eastmoney.com/unify/r/1.600875,600875,https://data.eastmoney.com/stockdata/600875.html,东方电气,https://data.eastmoney.com/zjlx/600875.html,"https://guba.eastmoney.com/list,600875.html",17.12,-2.34%,-3172.85万,-10.97%,-1354.23万,-4.68%,-1818.63万,-6.29%,4505.04万,15.57%,,,-1332.19万,-4.61%,,
170,https://quote.eastmoney.com/unify/r/0.002422,002422,https://data.eastmoney.com/stockdata/002422.html,科伦药业,https://data.eastmoney.com/zjlx/002422.html,"https://guba.eastmoney.com/list,002422.html",29.73,-1.49%,-3549.61万,-10.85%,-2563.55万,-7.84%,-986.06万,-3.01%,2999.10万,9.17%,550.51万,1.68%,,,,
171,https://quote.eastmoney.com/unify/r/0.300678,300678,https://data.eastmoney.com/stockdata/300678.html,中科信息,https://data.eastmoney.com/zjlx/300678.html,"https://guba.eastmoney.com/list,300678.html",26.08,-3.66%,-4041.72万,-12.02%,-514.82万,-1.53%,-3526.90万,-10.49%,6075.80万,18.06%,,,-2034.07万,-6.05%,,
172,https://quote.eastmoney.com/unify/r/0.300502,300502,https://data.eastmoney.com/stockdata/300502.html,新易盛,https://data.eastmoney.com/zjlx/300502.html,"https://guba.eastmoney.com/list,300502.html",109.99,-2.62%,-7239.66万,-3.46%,-1.00亿,-4.80%,-1083.61万,-0.52%,2805.38万,1.34%,8323.27万,3.98%,,,,
173,https://quote.eastmoney.com/unify/r/1.600101,600101,https://data.eastmoney.com/stockdata/600101.html,明星电力,https://data.eastmoney.com/zjlx/600101.html,"https://guba.eastmoney.com/list,600101.html",13.03,-4.19%,-8759.52万,-11.21%,-6756.68万,-8.65%,-2002.85万,-2.56%,9624.11万,12.32%,,,-864.58万,-1.11%,,
